	title	link	salary_min	salary_max	salary_currency	source
0	Python Developer	https://perm.hh.ru/vacancy/50724015	100000.0	150000.0	руб.	hh.ru
1	Python Developer	https://perm.hh.ru/vacancy/51215380	70000.0	200000.0	руб.	hh.ru
2	Python Developer	https://perm.hh.ru/vacancy/51410708				hh.ru
3	Разработчик Python	https://perm.hh.ru/vacancy/51189383				hh.ru
4	Разработчик Python	https://perm.hh.ru/vacancy/51492516				hh.ru
5	Ведущий Python разработчик	https://perm.hh.ru/vacancy/47910445	200000.0	350000.0	руб.	hh.ru
6	Python разработчик (Middle/Senior)	https://perm.hh.ru/vacancy/51324074		120000.0	руб.	hh.ru
7	Python разработчик Middle/Senior	https://perm.hh.ru/vacancy/47910596	120000.0	200000.0	руб.	hh.ru
8	Data Engineer	https://perm.hh.ru/vacancy/51366209				hh.ru
9	Middle/Senior Python-разработчик в команду Добычи данных	https://perm.hh.ru/vacancy/47616457				hh.ru
10	Middle/Senior Python-разработчик в команду Добычи данных	https://perm.hh.ru/vacancy/47616458				hh.ru
11	Разработчик Python	https://perm.hh.ru/vacancy/49547840				hh.ru
12	Middle/Senior Python-разработчик в команду Добычи данных	https://perm.hh.ru/vacancy/47616456				hh.ru
13	Middle/Senior Python-разработчик в команду Добычи данных	https://perm.hh.ru/vacancy/47616455				hh.ru
14	Python developer (scraper)	https://perm.hh.ru/vacancy/51113363				hh.ru
15	Junior+/middle Python разработчик	https://perm.hh.ru/vacancy/50817658		100000.0	руб.	hh.ru
16	Middle/Senior Python-разработчик в команду Добычи данных	https://perm.hh.ru/vacancy/47616454				hh.ru
17	Python разработчик (парсеры)	https://perm.hh.ru/vacancy/51048367				hh.ru
18	Data Engineer	https://perm.hh.ru/vacancy/50323148		150000.0	руб.	hh.ru
19	Разработчик на Pуthon Back-end	https://perm.hh.ru/vacancy/49580704				hh.ru
20	Инженер по нагрузочному тестированию (Senior)	https://perm.hh.ru/vacancy/51481028				hh.ru
21	Аналитик	https://perm.hh.ru/vacancy/49991092		80000.0	руб.	hh.ru
22	DevOps Engineer	https://perm.hh.ru/vacancy/51219454				hh.ru
23	Full Stack Web разработчик	https://perm.hh.ru/vacancy/51437237				hh.ru
24	PHP-программист (backend)	https://perm.hh.ru/vacancy/45787465				hh.ru
25	Специалист технической поддержки виртуального хостинга (ОС Linux)	https://perm.hh.ru/vacancy/47088070	35000.0	50000.0	руб.	hh.ru
26	Редактор инфографики отдела специальных проектов tass.ru	https://perm.hh.ru/vacancy/51346502				hh.ru
27	Специалист 1 категории	https://perm.hh.ru/vacancy/51313776		80000.0	руб.	hh.ru
28	Senior Data Engineer / Ведущий инженер данных	https://perm.hh.ru/vacancy/50949034				hh.ru
29	Андроид-разработчик (Команда Performance)	https://perm.hh.ru/vacancy/51286859				hh.ru
30	Fullstack developer	https://perm.hh.ru/vacancy/49690467	200000.0	500000.0	руб.	hh.ru
31	Fullstack developer	https://perm.hh.ru/vacancy/47956471	200000.0	500000.0	руб.	hh.ru
32	Fullstack developer	https://perm.hh.ru/vacancy/47956470	200000.0	500000.0	руб.	hh.ru
33	Fullstack developer	https://perm.hh.ru/vacancy/47956467	200000.0	500000.0	руб.	hh.ru
34	Senior/Middle DS на проекты по анализу текстов документов и новостей (Big Data)	https://perm.hh.ru/vacancy/44161140				hh.ru
35	Fullstack developer	https://perm.hh.ru/vacancy/47956469	200000.0	500000.0	руб.	hh.ru
36	Fullstack developer	https://perm.hh.ru/vacancy/47956468	200000.0	500000.0	руб.	hh.ru
37	Fullstack developer	https://perm.hh.ru/vacancy/51218212	200000.0	500000.0	руб.	hh.ru
38	Fullstack developer	https://perm.hh.ru/vacancy/51218213	200000.0	500000.0	руб.	hh.ru
39	Главный специалист Процессы и автоматизация (Данные)	https://perm.hh.ru/vacancy/50686396				hh.ru
40	Node.js разработчик	https://perm.hh.ru/vacancy/50565210	2000.0	4000.0	USD	hh.ru
41	Node.js разработчик	https://perm.hh.ru/vacancy/50565206	2000.0	4000.0	USD	hh.ru
42	Node.js разработчик	https://perm.hh.ru/vacancy/50565208	2000.0	4000.0	USD	hh.ru
43	System administrator / DevOps	https://perm.hh.ru/vacancy/51489258	1000.0	1600.0	USD	hh.ru
44	Парсинг товаров; php программист	https://perm.hh.ru/vacancy/50694314	3000.0	7000.0	бел.руб.	hh.ru
45	Инженер по системам аналитики	https://perm.hh.ru/vacancy/50796127		300000.0	KZT	hh.ru
